text,sentiment,emotion
Got to say brightened my day,positive,joy
Product quality is uncertain about safety,negative,fear
thank you so much overall,positive,gratitude
I am unhappy with outcome,negative,sadness
Must say stressed by process,negative,anxiety
Incredibly exciting possibilities,positive,excitement
downcast and disappointed,negative,sadness
Such a perfect,positive,joy
Just interested if,neutral,curiosity
We are surprising isn't it,neutral,surprise
Exceptionally thoroughly confused,negative,confusion
Have to mention stressed and concerned,negative,anxiety
Just operational,neutral,neutral
Ended up issue behind me,positive,relief
Have to mention next level,positive,excitement
Have to mention ethical practices,positive,trust
Can't help but feel deeply disappointed,negative,disappointment
Ended up never let me down,positive,trust
Ended up service let me down,negative,disappointment
Completely pesky reminder,negative,annoyance
giving me anxiety at every step,negative,anxiety
Overall impression: so excited about features,positive,excitement
Truly fantastic team,positive,joy
Remarkably big letdown,negative,disappointment
My feedback: anticipating great things,positive,excitement
bothersome design throughout,negative,annoyance
Particularly don't make my mistake,negative,regret
Got to say absolutely infuriating,negative,anger
Need to express expected better,negative,disappointment
Must say absolutely thrilled,positive,excitement
Find myself grateful for prompt response,positive,gratitude
Must say appreciation beyond words,positive,gratitude
Especially passable quality,neutral,neutral
So worried it will fail,negative,fear
breathing easier now experience,positive,relief
Customer service was if only I knew,negative,regret
completely lost here consistently,negative,confusion
I am pleasant surprise,neutral,surprise
Just quality disappointing,negative,disappointment
Have to admit annoying notification,negative,annoyance
Especially pleasant surprise,neutral,surprise
Overall impression: can count on them,positive,trust
tedious experience experience,negative,frustration
missed better opportunities experience,negative,regret
Remarkably producing anxiety,negative,anxiety
Can't help but feel fascinated by potential,neutral,curiosity
unbiased view the entire time,neutral,neutral
struggling with this consistently,negative,frustration
Need to express amazing results,positive,joy
lost faith in right now,negative,sadness
Got to say lament the decline,negative,sadness
tension building right now,negative,anxiety
Must say major disappointment,negative,disappointment
We are thank you so much,positive,gratitude
Remarkably stress is gone,positive,relief
We are pulling my hair out,negative,frustration
this is ridiculous I'm so angry today,negative,anger
if only I knew lately,negative,regret
Need to express fair product,neutral,neutral
stress is gone,positive,relief
Honestly regret every moment,negative,regret
Need to express professional and credible,positive,trust
expected higher quality the entire time,negative,disappointment
fair deal right now,positive,satisfaction
Actually risky product,negative,fear
Absolutely enormous mistake,negative,regret
finally resolved throughout,positive,relief
Extremely operational again,positive,relief
regrettable experience,negative,regret
Particularly fills me with joy,positive,joy
Absolutely appreciate patience,positive,gratitude
declining standards throughout,negative,disappointment
The dismayed by results,negative,sadness
Product quality is bit irritating,negative,annoyance
Find myself lament the decline,negative,sadness
Very hard to understand,negative,confusion
I am scared of losing information,negative,fear
Very regret every moment,negative,regret
Must say fulfilled my needs,positive,satisfaction
I'm scared that right now,negative,fear
Must say dismayed by results,negative,sadness
bit irritating overall,negative,annoyance
issue sorted at last the entire time,positive,relief
Product quality is on edge about this,negative,anxiety
The grating experience,negative,annoyance
Got to say declining standards,negative,disappointment
Customer service was met my expectations,positive,satisfaction
Ended up matter of fact,neutral,neutral
Completely good experience overall,positive,satisfaction
Absolutely fair product,neutral,neutral
fear subsided the entire time,positive,relief
Especially privacy respected,positive,trust
small annoyance,negative,annoyance
Just makes no sense,negative,frustration
Extremely mixed feelings,neutral,neutral
Genuinely unhappy and let down,negative,sadness
Honestly looking forward to,positive,excitement
Truly this is ridiculous I'm so angry,negative,anger
unexpected outcome experience,neutral,surprise
Honestly uplifting experience,positive,joy
Especially working smoothly now,positive,relief
Find myself grateful for opportunity,positive,gratitude
furious and livid,negative,anger
Want to share that errors everywhere,negative,frustration
Exceptionally inquisitive about details,neutral,curiosity
Customer service was feel protected,positive,trust
losing patience at every step,negative,frustration
standard quality experience,neutral,neutral
increasingly annoying the entire time,negative,annoyance
Want to share that much appreciated,positive,gratitude
Totally routine interaction,neutral,neutral
Totally clunky system,negative,frustration
Want to share that reliable partner,positive,trust
researching features product,neutral,curiosity
Completely slow and laggy,negative,frustration
The producing anxiety,negative,anxiety
Got to say grateful for opportunity,positive,gratitude
I am safe choice,positive,trust
Honestly hindered by system,negative,frustration
mistake to buy consistently,negative,regret
Actually uneventful,neutral,neutral
can't thank you enough lately,positive,gratitude
Such a technical issues,negative,frustration
The insecure feeling,negative,anxiety
Completely pesky limitation,negative,annoyance
absolutely love this,positive,joy
safe and secure platform,positive,trust
Actually standard quality,neutral,neutral
My feedback: melancholy about situation,negative,sadness
little annoying from start to finish,negative,annoyance
Especially sudden realization,neutral,surprise
We are thankfully working,positive,relief
The works as intended,neutral,neutral
can't contain excitement lately,positive,excitement
Extremely getting what I paid for,positive,satisfaction
depends on needs today,neutral,neutral
Overall impression: grateful for support,positive,gratitude
Particularly can't wait for more,positive,excitement
Especially data is protected,positive,trust
Have to mention trustworthy team,positive,trust
The losing my patience,negative,anger
Find myself what's next,negative,confusion
Such a performance problems,negative,frustration
nervous about instability today,negative,anxiety
I am adequate for my needs,positive,satisfaction
Review: what are the capabilities,neutral,curiosity
if only I knew at every step,negative,regret
Ended up regrettable outcome,negative,sadness
what are the capabilities experience,neutral,curiosity
bewildered by design today,negative,confusion
Truly not making sense,negative,confusion
thankful for service today,positive,gratitude
Want to share that bit irritating,negative,annoyance
Incredibly irksome detail,negative,annoyance
So horrendous experience,negative,anger
Really next level,positive,excitement
giving me anxiety lately,negative,anxiety
Ended up buyer's remorse,negative,regret
Really anxiety gone,positive,relief
Customer service was unpredictable and stressful,negative,anxiety
horrendous experience consistently,negative,anger
Must say this is annoying,negative,annoyance
Overall impression: trustworthy with information,positive,trust
Totally adrenaline rush,positive,excitement
Want to share that seething with rage,negative,anger
Totally anxiously waiting,negative,anxiety
Actually delights me every time,positive,joy
Such a better now,positive,relief
mildly annoyed service,negative,annoyance
Just meets requirements,positive,satisfaction
Overall impression: exceptional value,positive,joy
growing irritation right now,negative,annoyance
absolutely furious product,negative,anger
curious about benefits service,neutral,curiosity
met my expectations at every step,positive,satisfaction
wonderful experience lately,positive,joy
I am muddled experience,negative,confusion
Overall impression: can relax now,positive,relief
Extremely have full faith in,positive,trust
Exceptionally fear subsided,positive,relief
Exceptionally not making sense,negative,confusion
Incredibly tense and worried,negative,anxiety
Incredibly functional,neutral,neutral
Such a stressed by process,negative,anxiety
So appreciation beyond words,positive,gratitude
The pesky reminder,negative,annoyance
Actually pulling my hair out,negative,frustration
Totally put a smile on my face,positive,joy
Exceptionally too many steps,negative,frustration
Have to mention over the moon,positive,joy
Extremely disheartened and sad,negative,sadness
Actually pointless process,negative,frustration
unexpectedly impressive lately,neutral,surprise
I am solid performance,positive,satisfaction
progress stalled consistently,negative,frustration
Have to admit heavy heart,negative,sadness
We are would like to learn,neutral,curiosity
really disappointed consistently,negative,disappointment
Remarkably working smoothly now,positive,relief
Extremely unremarkable,neutral,neutral
Truly intolerable situation,negative,anger
Got to say always delivers,positive,trust
Overall impression: worried about unknowns,negative,anxiety
Incredibly annoying notification,negative,annoyance
Incredibly had enough of this,negative,anger
vague explanation service,negative,confusion
game-changer right now,positive,excitement
So marginally frustrating,negative,annoyance
Must say reliable partner,positive,trust
never let me down overall,positive,trust
So not what I hoped for,negative,disappointment
Particularly fear data breach,negative,fear
sad and disappointed product,negative,sadness
quality disappointing product,negative,disappointment
investigating options product,neutral,curiosity
remarkable surprise consistently,neutral,surprise
Customer service was can't thank you enough,positive,gratitude
Really concern eliminated,positive,relief
Actually beyond expectations,positive,excitement
Overall impression: buyer's remorse,negative,regret
escalating irritation overall,negative,annoyance
Very thanks for caring,positive,gratitude
Must say seething with rage,negative,anger
missed better opportunities lately,negative,regret
annoying interface overall,negative,frustration
So struggling to understand,negative,confusion
attempting to grasp today,neutral,curiosity
pathetic and ridiculous the entire time,negative,anger
not as good as advertised consistently,negative,disappointment
Completely gets the work done,neutral,neutral
secure and protected,positive,trust
pointless process throughout,negative,frustration
Exceptionally below standard,negative,disappointment
Got to say appreciate patience,positive,gratitude
We are small annoyance,negative,annoyance
Find myself amped up,positive,excitement
Ended up dependable history,positive,trust
proven track record throughout,positive,trust
worried it won't work overall,negative,anxiety
Incredibly wish I hadn't bought this,negative,regret
So curious mind,neutral,curiosity
would like to learn today,neutral,curiosity
Must say average product,neutral,neutral
Really mourning the quality,negative,sadness
We are feel let down,negative,sadness
anxiety gone consistently,positive,relief
Product quality is value for money,positive,satisfaction
Ended up thankful from heart,positive,gratitude
operational right now,neutral,neutral
secure in my decision throughout,positive,trust
Remarkably concerned about potential,negative,fear
Customer service was worst experience ever,negative,anger
Actually what does this mean,negative,confusion
investigating options from start to finish,neutral,curiosity
Really suitable product,positive,satisfaction
Such a worried it could,negative,fear
Product quality is poor execution,negative,disappointment
We are unsafe platform,negative,fear
small thing but annoying from start to finish,negative,annoyance
Exceptionally does the job,neutral,neutral
Genuinely escalating irritation,negative,annoyance
pathetic service at every step,negative,anger
My feedback: grateful for support,positive,gratitude
Product quality is annoying notification,negative,annoyance
Really regrettable outcome,negative,sadness
wary of using,negative,fear
Customer service was outstanding quality,positive,joy
Find myself upset by result,negative,sadness
Incredibly glad it's fixed,positive,relief
Have to mention content with outcome,positive,satisfaction
I am unmet promises,negative,disappointment
context dependent product,neutral,neutral
Honestly emotionally draining,negative,sadness
Incredibly how to proceed,negative,confusion
concerned about potential consistently,negative,fear
Have to admit indebted to team,positive,gratitude
Honestly disheartening experience,negative,sadness
Absolutely never saw that coming,neutral,surprise
Ended up won't load properly,negative,frustration
operational again product,positive,relief
Have to admit unexpected outcome,neutral,surprise
not making sense overall,negative,confusion
Extremely worse than expected,negative,disappointment
Product quality is irritating design,negative,frustration
really surprised by,neutral,surprise
terrified of consequences consistently,negative,fear
completely trust this company overall,positive,trust
Must say never saw that coming,neutral,surprise
Got to say exciting possibilities,positive,excitement
Genuinely having trouble comprehending,negative,confusion
So petty annoyance but still,negative,annoyance
irritating popup at every step,negative,annoyance
frustrated with process from start to finish,negative,frustration
So unresponsive system,negative,frustration
stressed and concerned right now,negative,anxiety
Customer service was scared of problems,negative,fear
Particularly difficulty overcome,positive,relief
menacing problems experience,negative,fear
Completely concerned about changes,negative,anxiety
middle of the road the entire time,neutral,neutral
Got to say satisfactory results,positive,satisfaction
Particularly curious about benefits,neutral,curiosity
Such a surprising turn,neutral,surprise
nervous about process consistently,negative,fear
slightly irritated lately,negative,annoyance
Can't help but feel failed to deliver,negative,disappointment
Find myself nervous about what if,negative,fear
So obstacles everywhere,negative,frustration
Actually should have avoided,negative,regret
Actually grieving the service,negative,sadness
Actually increasing anxiety,negative,anxiety
Got to say bit of a nuisance,negative,annoyance
immense gratitude product,positive,gratitude
Want to share that want to understand better,neutral,curiosity
Have to admit much appreciated,positive,gratitude
seething with rage right now,negative,anger
remarkable experience overall,positive,joy
trust with my business overall,positive,trust
Have to admit eager to discover,neutral,curiosity
Customer service was stunning revelation,neutral,surprise
My feedback: regret every moment,negative,regret
Very concern eliminated,positive,relief
unremarkable throughout,neutral,neutral
Want to share that electrifying,positive,excitement
Genuinely having a hard time,negative,frustration
The neutral opinion,neutral,neutral
Want to share that wish I waited,negative,regret
Product quality is secure and protected,positive,trust
Have to admit serviceable,neutral,neutral
Got to say no strong feelings,neutral,neutral
Genuinely honest and transparent,positive,trust
Particularly superb,positive,joy
caught me off guard experience,neutral,surprise
Find myself functional,neutral,neutral
Actually can't move forward,negative,frustration
bad decision service,negative,regret
learning about this overall,neutral,curiosity
Got to say sorted out nicely,positive,relief
Extremely unclear and difficult,negative,confusion
So standard service,neutral,neutral
nervous about stability lately,negative,fear
I am couldn't ask for better,positive,joy
worst experience ever throughout,negative,anger
proven track record from start to finish,positive,trust
Overall impression: minor inconvenience,negative,annoyance
highly recommend experience,positive,joy
Ended up outrageous,negative,anger
Product quality is unremarkable,neutral,neutral
Got to say dependable history,positive,trust
ecstatic about results experience,positive,joy
overwhelmed by options overall,negative,anxiety
uneventful service,neutral,neutral
Just next level,positive,excitement
Truly happy customer here,positive,joy
product disappoints the entire time,negative,disappointment
Absolutely worried about security,negative,fear
unclear purpose the entire time,negative,confusion
Ended up sad and disappointed,negative,sadness
The grateful for opportunity,positive,gratitude
Remarkably routine interaction,neutral,neutral
Remarkably what are the capabilities,neutral,curiosity
Such a unsafe platform,negative,fear
shocking discovery at every step,neutral,surprise
Actually anxiously waiting,negative,anxiety
Totally worried it could,negative,fear
We are bothers me a bit,negative,annoyance
fair product consistently,neutral,neutral
I am concerned about reliability,negative,fear
what does this mean consistently,negative,confusion
Completely exhilarating experience,positive,excitement
Want to share that don't make my mistake,negative,regret
unnecessarily complicated overall,negative,frustration
Actually blessed to have,positive,gratitude
We are truly regret,negative,regret
Totally privacy respected,positive,trust
Exceptionally getting nowhere,negative,frustration
Have to mention indifferent,neutral,neutral
Want to share that problem solved,positive,relief
We are disappointing and sad,negative,sadness
keeps crashing throughout,negative,frustration
secure in my decision service,positive,trust
Honestly how to navigate,negative,confusion
Truly nerve-wracking,negative,anxiety
Must say shouldn't be this difficult,negative,frustration
Particularly apprehensive about using,negative,anxiety
Very rage inducing experience,negative,anger
Find myself delivered as promised,positive,satisfaction
Very irritating layout,negative,annoyance
Remarkably this is so frustrating to deal with,negative,frustration
wish I researched more,negative,regret
Ended up revolutionary,positive,excitement
Extremely can't thank you enough,positive,gratitude
Have to admit nervous about stability,negative,fear
absolutely love this today,positive,joy
Find myself hasty and regrettable,negative,regret
Exceptionally never expected,neutral,surprise
Honestly remarkable experience,positive,joy
fills me with joy service,positive,joy
as described at every step,positive,satisfaction
Incredibly trustworthy relationship,positive,trust
I am unbiased view,neutral,neutral
Can't help but feel furious and livid,negative,anger
Overall impression: breathing easier now,positive,relief
Product quality is trustworthy and genuine,positive,trust
trivial problem today,negative,annoyance
wow moment today,neutral,surprise
Can't help but feel unremarkable,neutral,neutral
Need to express subpar service,negative,disappointment
tedious experience lately,negative,frustration
Especially never saw that coming,neutral,surprise
Find myself working smoothly now,positive,relief
Ended up irritating design,negative,frustration
privacy respected experience,positive,trust
Ended up remarkably better,neutral,surprise
Particularly acceptable level,neutral,neutral
not up to par the entire time,negative,disappointment
brightened my day lately,positive,joy
Can't help but feel interested if,neutral,curiosity
technical issues service,negative,frustration
Customer service was brightened my day,positive,joy
The makes me sad,negative,sadness
electrifying overall,positive,excitement
Review: disgusting behavior,negative,anger
I am dejected by service,negative,sadness
Overall impression: ambiguous directions,negative,confusion
Just unexpected development,neutral,surprise
Find myself finally working properly,positive,relief
Very pesky reminder,negative,annoyance
makes me so happy experience,positive,joy
Product quality is minor inconvenience,negative,annoyance
Especially living up to promises,positive,satisfaction
Totally worried it will fail,negative,fear
Particularly incredible breakthrough,positive,excitement
Have to admit incompetent staff,negative,anger
Genuinely operational again,positive,relief
acceptable level of service right now,positive,satisfaction
Need to express inexcusable,negative,anger
happy with results throughout,positive,satisfaction
Product quality is serves its purpose,positive,satisfaction
We are slow and laggy,negative,frustration
Review: want to see if,neutral,curiosity
disgusting behavior service,negative,anger
Want to share that curious about features,neutral,curiosity
Customer service was meets basic needs,neutral,neutral
unexpected find service,neutral,surprise
Particularly stressed out,negative,anxiety
Genuinely unbiased view,neutral,neutral
Especially fills me with joy,positive,joy
performance meets expectations from start to finish,positive,satisfaction
Find myself beyond expectations,positive,excitement
Absolutely completely trust this company,positive,trust
Genuinely hopes were high,negative,disappointment
Totally don't make my mistake,negative,regret
Ended up appreciation beyond words,positive,gratitude
Review: never let me down,positive,trust
acceptable level of service from start to finish,positive,satisfaction
Such a acceptable for purpose,neutral,neutral
The no issues so far,positive,satisfaction
My feedback: having trouble comprehending,negative,confusion
Can't help but feel wish I hadn't bought this,negative,regret
depends on needs overall,neutral,neutral
Particularly overly complex,negative,frustration
Completely feels precarious,negative,fear
Honestly grieving the service,negative,sadness
Actually seeking to comprehend,neutral,curiosity
Exceptionally disgraceful conduct,negative,anger
uneasy and nervous experience,negative,anxiety
I am interested in learning more,neutral,curiosity
major regret consistently,negative,regret
Absolutely sorrowful experience,negative,sadness
Want to share that sad and disappointed,negative,sadness
The annoying notification,negative,annoyance
Ended up regrettable experience,negative,regret
Such a wow factor,positive,excitement
Find myself exploring possibilities,neutral,curiosity
Truly unexpected outcome,neutral,surprise
Particularly atrocious terrible experience,negative,anger
Customer service was so excited about features,positive,excitement
Exceptionally deeply appreciate,positive,gratitude
Extremely apprehensive about fluctuations,negative,anxiety
not up to par from start to finish,negative,disappointment
can't find option throughout,negative,confusion
Must say energized by possibilities,positive,excitement
bothersome design from start to finish,negative,annoyance
pleased with service from start to finish,positive,satisfaction
My feedback: stunning revelation,neutral,surprise
Incredibly uplifting experience,positive,joy
Can't help but feel experience fell flat,negative,disappointment
Can't help but feel unhappy and let down,negative,sadness
I am normal operation,neutral,neutral
Totally content with outcome,positive,satisfaction
losing patience throughout,negative,frustration
Really feel unhappy,negative,sadness
My feedback: surprising turn,neutral,surprise
So excited and grateful for this opportunity!,positive,excitement
We are poor execution,negative,disappointment
Have to mention thank you for understanding,positive,gratitude
bit of a nuisance consistently,negative,annoyance
Genuinely subpar service,negative,disappointment
Truly wasn't expecting,neutral,surprise
this is ridiculous I'm so angry product,negative,anger
Need to express finally resolved,positive,relief
Can't help but feel losing my patience,negative,anger
astonishing result product,neutral,surprise
should have read reviews service,negative,regret
caught me off guard throughout,neutral,surprise
lost and confused today,negative,confusion
Especially pumped and excited,positive,excitement
Need to express step backward,negative,disappointment
Extremely can't figure it out,negative,confusion
Product quality is fantastic team,positive,joy
Especially should have chosen differently,negative,regret
unbelievable results right now,neutral,surprise
Particularly lost and confused,negative,confusion
Want to share that serviceable,neutral,neutral
Extremely where's the button,negative,confusion
appreciate going extra mile lately,positive,gratitude
Ended up wrong choice made,negative,regret
Such a kind assistance,positive,gratitude
Customer service was increasing anxiety,negative,anxiety
We are can relax now,positive,relief
Product quality is trustworthy team,positive,trust
enormous mistake right now,negative,regret
Just feels precarious,negative,fear
The poor execution,negative,disappointment
I am consistent quality,positive,satisfaction
Honestly how does this work,negative,confusion
Want to share that confusing and frustrating,negative,confusion
trivial yet irritating overall,negative,annoyance
Truly causing me stress,negative,anxiety
problem solved at every step,positive,relief
Truly stunning revelation,neutral,surprise
Can't help but feel looking to learn,neutral,curiosity
Very superb,positive,joy
frightening experience throughout,negative,fear
acceptable service right now,positive,satisfaction
happy with results today,positive,satisfaction
Completely can't find option,negative,confusion
Want to share that exhilarating experience,positive,excitement
no complaints no praise experience,neutral,neutral
Have to mention should have read reviews,negative,regret
appalling service at every step,negative,anger
Need to express irritating design,negative,frustration
Want to share that if only I knew,negative,regret
good quality throughout,positive,satisfaction
Can't help but feel intrigued by concept,neutral,curiosity
absolutely furious from start to finish,negative,anger
Very tension building,negative,anxiety
meets my standards,positive,satisfaction
want to explore further the entire time,neutral,curiosity
Very glad it's fixed,positive,relief
appreciate your time right now,positive,gratitude
stressful situation lately,negative,anxiety
Actually imperiling data,negative,fear
burden lifted today,positive,relief
Want to share that stress relieved,positive,relief
Want to share that tension released,positive,relief
mind-blowing features lately,positive,excitement
Must say little annoying,negative,annoyance
Absolutely hard to understand,negative,confusion
Very threatening situation,negative,fear
back on track consistently,positive,relief
Particularly sad and disappointed,negative,sadness
happy it's resolved overall,positive,relief
Actually dismal experience,negative,sadness
pesky limitation at every step,negative,annoyance
deeply disappointed the entire time,negative,disappointment
pure happiness,positive,joy
remorseful about choice service,negative,regret
Just completely lost here,negative,confusion
thankfully working overall,positive,relief
petty annoyance but still product,negative,annoyance
Completely nothing special,neutral,neutral
Such a which option to choose,negative,confusion
Have to admit super stoked about,positive,excitement
escalating irritation today,negative,annoyance
Got to say time-consuming hassle,negative,frustration
Want to share that examining capabilities,neutral,curiosity
The apprehensive about using,negative,anxiety
concerned about reliability overall,negative,fear
The surprised by this,neutral,surprise
Find myself flawless,positive,joy
Particularly slightly irritated,negative,annoyance
Very dejected and discouraged,negative,sadness
annoying notification today,negative,annoyance
Remarkably furious and livid,negative,anger
The declining standards,negative,disappointment
Such a unremarkable,neutral,neutral
making me anxious today,negative,anxiety
The making me nervous,negative,anxiety
Got to say terrified of consequences,negative,fear
Got to say shocking improvement,neutral,surprise
My feedback: wish I could return,negative,regret
should have avoided overall,negative,regret
My feedback: unpredictable and stressful,negative,anxiety
Absolutely this is ridiculous I'm so angry,negative,anger
Absolutely checking out features,neutral,curiosity
Incredibly exploring options,neutral,curiosity
Want to share that so excited about features,positive,excitement
Incredibly building frustration,negative,annoyance
Find myself uplifting experience,positive,joy
I am acceptable level of service,positive,satisfaction
Incredibly marginally frustrating,negative,annoyance
Have to mention situational,neutral,neutral
Product quality is generating stress,negative,anxiety
Customer service was getting on my nerves,negative,annoyance
We are hopes dashed,negative,disappointment
My feedback: wish I could undo,negative,regret
Got to say didn't expect this,neutral,surprise
feeling down right now,negative,sadness
Need to express adequate for my needs,positive,satisfaction
Must say thanks for going above and beyond,positive,gratitude
We are wish I never,negative,regret
We are worried about unknowns,negative,anxiety
Incredibly getting nowhere,negative,frustration
Completely driving me crazy,negative,frustration
Ended up ethical practices,positive,trust
let down by quality right now,negative,disappointment
Product quality is appreciation beyond words,positive,gratitude
makes no sense overall,negative,frustration
Ended up baffled by process,negative,confusion
Particularly grateful you helped,positive,gratitude
getting annoying service,negative,annoyance
should have been careful,negative,regret
Got to say confident in service,positive,trust
hopes were high the entire time,negative,disappointment
Truly dismal experience,negative,sadness
Review: on edge about this,negative,anxiety
regression in quality from start to finish,negative,disappointment
Such a tragic experience,negative,sadness
Find myself good quality,positive,satisfaction
reasonable quality product,positive,satisfaction
"Don't understand this at all, losing patience",negative,frustration
Just joyful experience,positive,joy
Have to mention intolerable situation,negative,anger
So worried about unknowns,negative,anxiety
Completely big regret,negative,regret
My feedback: let down by performance,negative,disappointment
Very major regret,negative,regret
Honestly incredible service,positive,joy
heartbreaking quality experience,negative,sadness
Extremely sad and disappointed,negative,sadness
inefficient system right now,negative,frustration
suitable product product,positive,satisfaction
Can't help but feel concerned about potential,negative,fear
caught off guard consistently,neutral,surprise
Really neutral stance,neutral,neutral
Customer service was sincerely regret,negative,regret
Need to express anxious about variables,negative,anxiety
irritating popup throughout,negative,annoyance
Remarkably annoying repetition,negative,annoyance
service standards maintained,positive,satisfaction
Have to mention having trouble comprehending,negative,confusion
checking out features overall,neutral,curiosity
does the job well right now,positive,satisfaction
Overall impression: finally resolved,positive,relief
Customer service was dejected by service,negative,sadness
Must say unexpected aspect,neutral,surprise
Completely has pros and cons,neutral,neutral
Genuinely bothersome alert,negative,annoyance
unnecessarily complicated from start to finish,negative,frustration
Really puzzled by interface,negative,confusion
Find myself terrified of consequences,negative,fear
Totally superb,positive,joy
The truly grateful,positive,gratitude
Product quality is underwhelming quality,negative,disappointment
Actually outrageous,negative,anger
Have to admit makes me anxious,negative,fear
Especially stunning revelation,neutral,surprise
So abysmal support,negative,anger
Truly wondering how this works,neutral,curiosity
frustrated with process lately,negative,frustration
Find myself fair product,neutral,neutral
Such a feel safe,positive,trust
Have to mention afraid this might,negative,fear
Totally driving me crazy,negative,frustration
Can't help but feel dangerous to trust,negative,fear
Completely fixed and functional,positive,relief
So fulfills requirements,positive,satisfaction
Extremely service let me down,negative,disappointment
Just situation improved,positive,relief
Extremely trivial problem,negative,annoyance
Honestly forever thankful,positive,gratitude
We are learn from my regret,negative,regret
Especially worth the money,positive,satisfaction
Extremely frustrated with process,negative,frustration
trustworthy team product,positive,trust
can't move forward overall,negative,frustration
Remarkably can't wrap my head around this,negative,confusion
features underwhelming from start to finish,negative,disappointment
don't know what to expect throughout,negative,anxiety
Totally disheartening experience,negative,sadness
Overall impression: don't see how,negative,confusion
Have to admit horrible disgusting service,negative,anger
Genuinely integrity matters,positive,trust
feel safe here from start to finish,positive,trust
completely regret product,negative,regret
Have to admit brought me down,negative,sadness
Incredibly appreciate dedication,positive,gratitude
Have to mention missed better opportunities,negative,regret
Must say grateful for support,positive,gratitude
Find myself should have avoided,negative,regret
not up to par throughout,negative,disappointment
We are incompetent and useless,negative,anger
grateful for prompt response the entire time,positive,gratitude
as described from start to finish,positive,satisfaction
Find myself fear subsided,positive,relief
So totally surprised,neutral,surprise
Got to say really sad about this,negative,sadness
slightly annoying to deal with experience,negative,annoyance
horrendous experience lately,negative,anger
Review: thankful for support,positive,gratitude
Ended up meets basic needs,neutral,neutral
good quality from start to finish,positive,satisfaction
Customer service was lackluster performance,negative,disappointment
Incredibly shockingly good,neutral,surprise
Review: living up to promises,positive,satisfaction
So looking forward to,positive,excitement
thrilling features lately,positive,excitement
thanks for effort overall,positive,gratitude
fantastic team today,positive,joy
Can't help but feel indifferent,neutral,neutral
Totally does the job well,positive,satisfaction
Customer service was brings me joy,positive,joy
security is solid lately,positive,trust
Especially amped up,positive,excitement
Totally amped up,positive,excitement
Really producing anxiety,negative,anxiety
ridiculous wait time from start to finish,negative,anger
Genuinely exceptional value,positive,joy
I'm so confused right now throughout,negative,confusion
Exceptionally threatened by issues,negative,fear
Must say disappointing and sad,negative,sadness
Customer service was peace of mind,positive,trust
Actually unanticipated result,neutral,surprise
Really concerned about potential,negative,fear
Genuinely breathing easier now,positive,relief
Can't help but feel electrifying,positive,excitement
worry disappeared from start to finish,positive,relief
Remarkably makes me so happy,positive,joy
irritating design overall,negative,frustration
trying to understand service,neutral,curiosity
Can't help but feel makes me anxious,negative,fear
My feedback: getting what I paid for,positive,satisfaction
Have to admit looking forward to,positive,excitement
Completely next level,positive,excitement
Absolutely reputable company,positive,trust
Have to admit nuisance feature,negative,annoyance
Genuinely pesky behavior,negative,annoyance
Got to say fair product,neutral,neutral
hyped for this at every step,positive,excitement
Especially surprisingly,neutral,surprise
I am apprehensive about fluctuations,negative,anxiety
We are don't understand how this works,negative,confusion
Review: regrettable experience,negative,regret
excited for what's next from start to finish,positive,excitement
Overall impression: weight off shoulders,positive,relief
Got to say matter of fact,neutral,neutral
The surprising feature,neutral,surprise
Remarkably small thing but annoying,negative,annoyance
Product quality is feel safe here,positive,trust
Want to share that wrong move,negative,regret
Review: curious about how,neutral,curiosity
Totally surprised to find,neutral,surprise
The too risky to use,negative,fear
Honestly acceptable level of service,positive,satisfaction
trustworthy team throughout,positive,trust
immense gratitude experience,positive,gratitude
Particularly learn from my regret,negative,regret
Truly uplifting experience,positive,joy
eternally grateful,positive,gratitude
Need to express worried about privacy,negative,fear
Particularly safe choice,positive,trust
looking to learn experience,neutral,curiosity
Actually I'm scared that,negative,fear
Really suffices,neutral,neutral
varies the entire time,neutral,neutral
Just appreciate going extra mile,positive,gratitude
Just should have read reviews,negative,regret
Remarkably trivial yet irritating,negative,annoyance
Such a crisis averted,positive,relief
Product quality is hindered by system,negative,frustration
Have to mention consistent quality,positive,trust
Customer service was hindsight is 20/20,negative,regret
fixed and functional consistently,positive,relief
Totally meets basic needs,neutral,neutral
Really can't contain excitement,positive,excitement
Got to say emotionally draining,negative,sadness
Very never saw that coming,neutral,surprise
can't find option at every step,negative,confusion
Find myself content with quality,positive,satisfaction
We are too risky to use,negative,fear
Want to share that operational,neutral,neutral
acceptable level of service the entire time,positive,satisfaction
can't figure it out service,negative,confusion
interested in details service,neutral,curiosity
Need to express anticipating great things,positive,excitement
Really expected higher quality,negative,disappointment
fearful of errors from start to finish,negative,fear
struggling to understand overall,negative,confusion
lost faith in lately,negative,sadness
My feedback: fascinated by potential,neutral,curiosity
The building frustration,negative,annoyance
Ended up could have been better,negative,disappointment
worried about unknowns today,negative,anxiety
Particularly can't believe,neutral,surprise
Very adequate for my needs,positive,satisfaction
dejected by service lately,negative,sadness
thrilled with outcome experience,positive,joy
Customer service was unsafe feeling,negative,fear
kind of annoying me service,negative,annoyance
scared of losing information consistently,negative,fear
seeking to comprehend lately,neutral,curiosity
Particularly objective assessment,neutral,neutral
Review: thankful from heart,positive,gratitude
Can't help but feel should have listened,negative,regret
